firm_name,firm_crd,nbrokers,pct_with_misc_records
"jp morgan securities",79,26251,.0342844
"lincoln financial distributors",145,1296,.033179
"oppenheimer co",249,2275,.196044
"edward jones",250,16750,.0463284
"goldman sachs co",361,7380,.0088076
"woodbury financial services",421,1377,.1089325
"janney montgomery scott",463,1394,.1327116
"signator investors",468,1524,.0813648
"lincoln investment",519,1123,.0650045
"fifth third securities",628,1559,.0615779
"raymond james associates",705,5495,.1373976
"stifel nicolaus company incorporated",793,4008,.1327345
"credit suisse securities usa",816,3733,.0219662
"waddell reed",866,2749,.0731175
"princor financial services corporation",1137,3521,.0641863
"jefferies",2347,1676,.0167064
"deutsche bank securities",2525,3556,.0284027
"northwestern mutual investment services",2881,8991,.0381493
"voya financial advisors",2882,2763,.0839667
"lincoln financial securities corporation",3870,1056,.0909091
"lincoln financial advisors corporation",3978,2263,.0715864
"hornor townsend kent",4031,1174,.0749574
"nylife securities",5167,8219,.0781117
"fbl marketing services",5309,1699,.0288405
"charles schwab co",5393,7147,.0533091
"pruco securities",5685,4978,.077943
"suntrust robinson humphrey",6271,1040,.0125
"ameriprise financial services",6363,13549,.1042143
"lpl financial",6413,18093,.0921351
"axa advisors",6627,5233,.0898146
"raymond james financial services",6694,5176,.1118624
"citigroup global markets",7059,6892,.0282937
"nationwide investment services corporation",7110,2011,.0228742
"vanguard marketing corporation",7452,5777,.0211182
"fsc securities corporation",7461,1373,.1158048
"pershing",7560,1049,.0171592
"ubs securities",7654,1785,.0151261
"merrill lynch pierce fenner smith incorporated",7691,32107,.0854331
"fidelity brokerage services",7784,12697,.0331574
"td ameritrade",7870,3474,.0443293
"commonwealth financial network",8032,2672,.0767216
"robert w baird co incorporated",8158,2344,.0610068
"ubs financial services",8174,12175,.1513758
"scottrade",8206,1997,.0355533
"morgan stanley co",8209,3807,.0078802
"t rowe price investment services",8348,1741,.0189546
"pfs investments",10111,17700,.0483616
"securities america",10205,2546,.1429694
"cetera advisors",10299,1432,.1438548
"cetera financial specialists",10358,1420,.0359155
"mml investors services",10409,5274,.0834281
"wells fargo advisors financial network",11025,1797,.1530328
"nationwide securities",11173,1763,.0504821
"country capital management company",12060,1993,.0476668
"invest financial corporation",12984,1425,.1010526
"national financial services",13041,1177,.0212404
"gwfs equities",13109,2078,.0221367
"cetera advisor networks",13572,2972,.0746972
"hd vest investment services",13686,4747,.0433958
"metlife securities",14251,6825,.0811722
"ameritas investment",14869,1462,.0909713
"securian financial services",15296,1552,.068299
"cetera investment services",15340,1687,.0687611
"proequities",15708,1513,.0793126
"bnp paribas securities",15794,1109,.0117223
"transamerica financial advisors",16164,4866,.0655569
"the huntington investment company",16986,1134,.047619
"mt securities",17358,1439,.0264072
"suntrust investment services",17499,1650,.1
"us bancorp investments",17868,1736,.0570276
"allstate financial services",18272,8452,.0638902
"prudential investment management services",18353,1234,.0170178
"thrivent investment management",18387,3580,.0435754
"hsbc securities usa",19585,2232,.0362903
"wells fargo advisors",19616,26308,.1205717
"barclays capital",19714,3717,.0185634
"tiaa cref individual institutional services",20472,3859,.0375745
"royal alliance associates",23131,1975,.113924
"bbva securities",27060,1380,.0557971
"e*trade securities",29106,1561,.0409994
"national planning corporation",29604,1760,.1403409
"1st global capital",30349,1025,.0478049
"rbc capital markets",31194,5217,.0983324
"first allied securities",32444,1112,.1771583
"purshe kaplan sterling investments",35747,1224,.1143791
"blackrock investments",38642,1442,.0138696
"cambridge investment research",39543,3388,.0979929
"jackson national life distributors",40178,1034,.0232108
"nfp advisor services",42046,1875,.0922667
"valic financial advisors",42803,1633,.0747091
"state farm vp management",43036,15089,.0402943
"park avenue securities",46173,2877,.0757734
"farmers financial solutions",103863,6494,.0371112
"metlife investors distribution company",107622,1152,.046875
"wells fargo securities",126292,2876,.0170376
"usaa financial advisors",129035,1672,.02811
"pnc investments",129052,2434,.0476582
"sagepoint financial",133763,2063,.120698
"key investment services",136300,1132,.0600707
"morgan stanley",149777,23618,.1310441
